  -23.0258509300405       5.542166871270987E-008
  -23.0212448386362       5.567753471988954E-008
  -23.0166387472319       5.593458198691961E-008
  -23.0120326558276       5.619281596733465E-008
  -23.0074265644233       5.645224213984663E-008
  -23.0028204730190       5.671286600845869E-008
  -22.9982143816147       5.697469310258669E-008
  -22.9936082902104       5.723772897717419E-008
  -22.9890021988061       5.750197921280789E-008
  -22.9843961074019       5.776744941584076E-008
  -22.9797900159976       5.803414521850872E-008
  -22.9751839245933       5.830207227904754E-008
  -22.9705778331890       5.857123628181869E-008
  -22.9659717417847       5.884164293742337E-008
  -22.9613656503804       5.911329798282936E-008
  -22.9567595589761       5.938620718149036E-008
  -22.9521534675718       5.966037632346572E-008
  -22.9475473761675       5.993581122554912E-008
  -22.9429412847633       6.021251773138524E-008
  -22.9383351933590       6.049050171159974E-008
  -22.9337291019547       6.076976906392111E-008
  -22.9291230105504       6.105032571330354E-008
  -22.9245169191461       6.133217761205726E-008
  -22.9199108277418       6.161533073997277E-008
  -22.9153047363375       6.189979110444478E-008
  -22.9106986449332       6.218556474060500E-008
  -22.9060925535289       6.247265771144757E-008
  -22.9014864621247       6.276107610795494E-008
  -22.8968803707204       6.305082604923256E-008
  -22.8922742793161       6.334191368263594E-008
  -22.8876681879118       6.363434518389840E-008
  -22.8830620965075       6.392812675726746E-008
  -22.8784560051032       6.422326463563382E-008
  -22.8738499136989       6.451976508066090E-008
  -22.8692438222946       6.481763438292306E-008
  -22.8646377308903       6.511687886203629E-008
  -22.8600316394861       6.541750486678970E-008
  -22.8554255480818       6.571951877528564E-008
  -22.8508194566775       6.602292699507214E-008
  -22.8462133652732       6.632773596327634E-008
  -22.8416072738689       6.663395214674626E-008
  -22.8370011824646       6.694158204218571E-008
  -22.8323950910603       6.725063217628876E-008
  -22.8277889996560       6.756110910588423E-008
  -22.8231829082517       6.787301941807184E-008
  -22.8185768168475       6.818636973035915E-008
  -22.8139707254432       6.850116669080757E-008
  -22.8093646340389       6.881741697817073E-008
  -22.8047585426346       6.913512730203304E-008
  -22.8001524512303       6.945430440295812E-008
  -22.7955463598260       6.977495505262856E-008
  -22.7909402684217       7.009708605398705E-008
  -22.7863341770174       7.042070424138621E-008
  -22.7817280856131       7.074581648073097E-008
  -22.7771219942089       7.107242966962097E-008
  -22.7725159028046       7.140055073750306E-008
  -22.7679098114003       7.173018664581528E-008
  -22.7633037199960       7.206134438813150E-008
  -22.7586976285917       7.239403099031586E-008
  -22.7540915371874       7.272825351066880E-008
  -22.7494854457831       7.306401904007378E-008
  -22.7448793543788       7.340133470215380E-008
  -22.7402732629745       7.374020765341950E-008
  -22.7356671715703       7.408064508341789E-008
  -22.7310610801660       7.442265421489203E-008
  -22.7264549887617       7.476624230392612E-008
  -22.7218488973574       7.511141664010667E-008
  -22.7172428059531       7.545818454667404E-008
  -22.7126367145488       7.580655338067453E-008
  -22.7080306231445       7.615653053312403E-008
  -22.7034245317402       7.650812342915621E-008
  -22.6988184403359       7.686133952818755E-008
  -22.6942123489317       7.721618632407262E-008
  -22.6896062575274       7.757267134525930E-008
  -22.6850001661231       7.793080215495551E-008
  -22.6803940747188       7.829058635128615E-008
  -22.6757879833145       7.865203156745110E-008
  -22.6711818919102       7.901514547189379E-008
  -22.6665758005059       7.937993576846044E-008
  -22.6619697091016       7.974641019656029E-008
  -22.6573636176973       8.011457653133656E-008
  -22.6527575262931       8.048444258382783E-008
  -22.6481514348888       8.085601620113054E-008
  -22.6435453434845       8.122930526657224E-008
  -22.6389392520802       8.160431769987546E-008
  -22.6343331606759       8.198106145732207E-008
  -22.6297270692716       8.235954453192942E-008
  -22.6251209778673       8.273977495361603E-008
  -22.6205148864630       8.312176078936862E-008
  -22.6159087950587       8.350551014342039E-008
  -22.6113027036544       8.389103115741922E-008
  -22.6066966122502       8.427833201059700E-008
  -22.6020905208459       8.466742091995026E-008
  -22.5974844294416       8.505830614041088E-008
  -22.5928783380373       8.545099596501766E-008
  -22.5882722466330       8.584549872509950E-008
  -22.5836661552287       8.624182279044854E-008
  -22.5790600638244       8.663997656949390E-008
  -22.5744539724201       8.703996850948780E-008
  -22.5698478810158       8.744180709668064E-008
  -22.5652417896116       8.784550085649771E-008
  -22.5606356982073       8.825105835372723E-008
  -22.5560296068030       8.865848819269850E-008
  -22.5514235153987       8.906779901746058E-008
  -22.5468174239944       8.947899951197335E-008
  -22.5422113325901       8.989209840028777E-008
  -22.5376052411858       9.030710444672750E-008
  -22.5329991497815       9.072402645608198E-008
  -22.5283930583772       9.114287327378983E-008
  -22.5237869669730       9.156365378612258E-008
  -22.5191808755687       9.198637692038064E-008
  -22.5145747841644       9.241105164507933E-008
  -22.5099686927601       9.283768697013464E-008
  -22.5053626013558       9.326629194706275E-008
  -22.5007565099515       9.369687566916800E-008
  -22.4961504185472       9.412944727173155E-008
  -22.4915443271429       9.456401593221486E-008
  -22.4869382357386       9.500059087044350E-008
  -22.4823321443344       9.543918134881224E-008
  -22.4777260529301       9.587979667247744E-008
  -22.4731199615258       9.632244618955061E-008
  -22.4685138701215       9.676713929130586E-008
  -22.4639077787172       9.721388541236871E-008
  -22.4593016873129       9.766269403092539E-008
  -22.4546955959086       9.811357466892023E-008
  -22.4500895045043       9.856653689225304E-008
  -22.4454834131000       9.902159031099083E-008
  -22.4408773216958       9.947874457956739E-008
  -22.4362712302915       9.993800939698372E-008
  -22.4316651388872       1.003993945070225E-007
  -22.4270590474829       1.008629096984504E-007
  -22.4224529560786       1.013285648052215E-007
  -22.4178468646743       1.017963697066946E-007
